text,body_len,punct%,cap_count,has_link,clean_text,label
IM LATE TELLMISS IM ON MY WAY,29,0.0,7,0,m late tellmiss m way,ham
Yes i will be there. Glad you made it.,38,6.67,0,0,yes glad,ham
"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",75,9.68,3,0,wish family merry x mas happy new year advance,ham
Then Ì_ come n pick me at 530 ar?,33,8.0,1,0,ì come n pick 530 ar,ham
What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not,94,2.74,0,0,think say clearly ok leave need ask come,ham
Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,127,8.33,0,1,reminder download content pay goto mymoby tv collect content,spam
Jus finish bathing...,21,15.79,0,0,jus finish bath,ham
I sent you  &lt;#&gt;  bucks,28,22.73,0,0,send buck,ham
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,146,6.3,2,0,private 2003 account statement 07815296484 show 800 unredeemed sim point 08718738001 identifier code 41782 expire 181104,spam
Howz pain?hope u r fine..,25,14.29,0,0,howz painhope u r fine,ham
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,139,6.9,5,0,ur cashbalance currently 500 pound maximize ur cashin send cash 86688 150pmsg cc 08718720201 po box 11414 tcrw1,spam
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,157,3.82,4,0,urgent try contact u todays draw show win å£800 prize guarantee 09050001808 land line claim m95 valid12hrs,spam
Yes just finished watching days of our lives. I love it.,56,4.35,0,0,yes finish watch day life love,ham
"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.",100,2.44,0,0,mobile number win å£5000 claim call ring claim hot line 09050005321,spam
None of that's happening til you get here though,48,2.5,0,0,s happen til,ham
Don no da:)whats you plan?,26,13.64,0,0,don dawhat plan,ham
LOL what happens in Vegas stays in vegas,40,0.0,1,0,lol happen vegas stay vegas,ham
Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,107,4.65,0,0,engalnd telly decide will not let watch mia elliot kiss damn,ham
I want  &lt;#&gt;  rs da:)do you have it?,41,25.0,0,0,want rs dado,ham
Hahaha..use your brain dear,27,8.33,0,0,hahahause brain dear,ham
"I wake up long ago already... Dunno, what other thing?",54,11.11,0,0,wake long ago dunno thing,ham
Your bill at 3 is å£33.65 so thats not bad!,43,5.88,0,0,bill 3 å£3365 s bad,ham
Carlos says we can pick up from him later so yeah we're set,59,2.13,0,0,carlos say pick later yeah set,ham
I am sorry it hurt you.,23,5.56,0,0,sorry hurt,ham
You do your studies alone without anyones help. If you cant no need to study.,77,3.17,0,0,study anyone help not need study,ham
No. Thank you. You've been wonderful,36,9.68,0,0,thank ve wonderful,ham
Think + da. You wil do.,23,16.67,0,0,think da wil,ham
K..give back my thanks.,23,15.0,0,0,kgive thank,ham
Yup having my lunch buffet now.. U eat already?,47,7.69,0,0,yup have lunch buffet u eat,ham
I reach home safe n sound liao...,33,11.11,0,0,reach home safe n sound liao,ham
No did you check? I got his detailed message now,48,2.56,0,0,check get detailed message,ham
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",124,9.8,0,0,today song dedicated day song u dedicate send ur valuable frnd rply,ham
I might go 2 sch. Yar at e salon now v boring.,46,5.71,0,0,2 sch yar e salon v boring,ham
She doesnt need any test.,25,4.76,0,0,not need test,ham
So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,112,4.35,0,0,s ring come guy costume gift future yowife hint hint,ham
"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",122,4.17,0,0,way ve skip right outside house house pull,ham
"Come to mu, we're sorting out our narcotics situation",53,4.44,0,0,come mu sort narcotic situation,ham
What happen dear tell me,24,0.0,0,0,happen dear tell,ham
Mm so you asked me not to call radio,36,0.0,0,0,mm ask radio,ham
Ha ha cool cool chikku chikku:-):-DB-),38,21.21,0,0,ha ha cool cool chikku chikkudb,ham
I'm in office now da:)where are you?,36,13.33,0,0,m office dawhere,ham
Cramps stopped. Going back to sleep,35,3.33,0,0,cramp stop go sleep,ham
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",147,2.52,0,0,night end day morning come special way smile like sunny ray leave worry blue blue bay,ham
This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! ,97,6.58,0,0,pen thing joke will not biro not master not,ham
Aah bless! How's your arm?,26,13.64,0,0,aah bless s arm,ham
Prabha..i'm soryda..realy..frm heart i'm sory,45,19.51,0,0,prabhaim sorydarealyfrm heart m sory,ham
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,160,8.59,0,0,not feel nauseous m pissed not eat sweet week cause today plan pig diet week m hungry,ham
"Sorry, I'll call later in meeting any thing related to trade please call Arul. &lt;#&gt; ",89,10.81,0,0,sorry ill later meet thing relate trade arul,ham
What's nannys address?,22,10.0,0,0,s nanny address,ham
"Hmm well, night night ",22,5.56,0,0,hmm night night,ham
Can you open the door?,22,5.56,0,0,open door,ham
Yes. Rent is very expensive so its the way we save.,51,4.88,0,0,yes rent expensive way save,ham
I'm at home. Please call,24,10.0,0,0,m home,ham
Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,162,2.96,2,0,macha not feel upseti assume mindsetbelieve evening wonderful plan uslet life begin againcall anytime,ham
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,70,12.07,0,0,m drive rain ill catch e mrt station lor,ham
"Sorry, I'll call later",22,10.53,0,0,sorry ill later,ham
I am great! How are you?,24,10.53,0,0,great,ham
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,119,3.12,0,0,say hell friend get money s definitely buy end week,ham
R we going with the  &lt;#&gt;  bus?,36,21.43,0,0,r go bus,ham
U attend ur driving lesson how many times a wk n which day?,59,2.13,0,0,u attend ur drive lesson time wk n day,ham
great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :),148,9.09,0,0,great princess love give receive oral doggy style fave position enjoy make love time night,ham
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",161,9.09,0,0,wan2 win meetgreet westlife 4 u m8 currently tour 1unbreakable 2untamed 3unkempt text 12 3 83049 cost 50p std text,spam
"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",106,4.71,0,0,kind miss train cos asthma attack nxt half hr drive sure park,ham
Shb b ok lor... Thanx...,24,30.0,0,0,shb b ok lor thanx,ham
Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...,114,13.19,3,0,ok good later come find ì c lucky tell ì early later pple finish ì,ham
" says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !",200,5.66,0,0,say s quit least5time day wudnt notice nah not mind go to want come taunton tonight u tell,ham
Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,83,6.06,0,0,hey leave friday wait ask superior tell,ham
I'm gonna rip out my uterus.,28,8.7,0,0,m go to rip uterus,ham
Do Ì_ noe if ben is going?,26,10.0,1,0,ì noe ben go,ham
Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,140,12.26,0,0,cos lar m ba dao ok 1 pm lor y u ask ah say u ask fri say u ask today,ham
"Yes..but they said its IT.,",27,17.39,1,0,yesbut say,ham
I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,57,0.0,10,0,need 2 kiss u miss u baby ur baby 4eva,ham
Shopping lor. Them raining mah hard 2 leave orchard.,52,4.55,0,0,shopping lor rain mah hard 2 leave orchard,ham
"Its good, we'll find a way",26,9.52,0,0,good find way,ham
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88,7.14,0,0,jus reach home bathe sis net tell u finish k,ham
THIS IS A LONG FUCKIN SHOWR,27,0.0,5,0,long fuckin showr,ham
There is no sense in my foot and penis.,39,3.23,0,0,sense foot penis,ham
Goodmorning sleeping ga.,24,4.55,0,0,goodmorning sleep ga,ham
How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,77,22.22,0,0,noe s da car later c lar m wear short,ham
Wat would u like 4 ur birthday?,31,4.0,0,0,wat u like 4 ur birthday,ham
I love you both too :-),23,16.67,0,0,love,ham
By monday next week. Give me the full gist,42,2.94,0,0,monday week gist,ham
God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!,157,3.97,0,0,god create gap btwn ur finger dat sum1 vry special fill gap hold ur hand plz not ask y create gap leg,ham
"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",102,17.86,0,0,aiyo lesson early m sleepin haha okie u home liao den confirm w lor,ham
"\Thinking of u ;) x\""""",22,33.33,0,0,thinking u x,ham
I AM AT THE GAS STATION. GO THERE.,34,7.41,7,0,gas station,ham
Happy birthday to you....dear.with lots of love.rakhesh NRI,59,11.54,1,0,happy birthday youdearwith lot loverakhesh nri,ham
Me fine..absolutly fine,23,9.52,0,0,fineabsolutly fine,ham
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,5.41,0,0,wow right not mean guess give boston man change search location nyc change cuz signin page say boston,ham
And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,116,1.08,0,0,ve sorta blow couple time recently d text blue look weed,ham
Ok then no need to tell me anything i am going to sleep good night,66,0.0,0,0,ok need tell go sleep good night,ham
A bloo bloo bloo I'll miss the first bowl,41,3.03,0,0,bloo bloo bloo ill miss bowl,ham
Lmao but its so fun...,22,16.67,0,0,lmao fun,ham
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",155,4.65,2,0,want funk ur fone weekly new tone reply tones2u 2 text original n good tone 3gbp network operator rate apply,spam
He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,137,3.64,0,0,like v shock leh cos tell shuhui like tell leona like dat know liao get ask abt ur reaction lor,ham
"Probably not, I'm almost out of gas and I get some cash tomorrow",64,3.85,0,0,probably m gas cash tomorrow,ham
No de. But call me after some time. Ill tell you k,50,5.13,0,0,de time ill tell k,ham
"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj",154,5.88,0,0,hey doc pls want nice t shirt hubby nice fit one budget k help pls load d card abi hwkeep post luv 2 mj,ham
Prakesh is there know.,22,5.26,0,0,prakesh know,ham
"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",137,4.59,0,0,hi amy send free phone number couple day access adult party,spam
"Yeah, where's your class at?",28,12.5,0,0,yeah s class,ham
Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,129,1.94,0,0,hi babe thank come not welli want bed hope soon love kiss xxx,ham
"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",263,11.0,2,0,plz note call mobile co ask u type disconnect callcoz iz attempt terrorist use sim card itz confirmd nokia n motorola n verify cnn ibn,ham
East coast,10,0.0,0,0,east coast,ham
Compliments to you. Was away from the system. How your side.,60,6.0,0,0,compliment away system,ham
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,5.98,0,0,force eat slice m hungry tho suck mark get worry know m sick turn pizza lol,ham
"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\""""",48,11.9,7,0,gran onlyfound afew day agocusoon honi,ham
Onum ela pa. Normal than.,25,9.52,0,0,onum ela pa normal,ham
My sister got placed in birla soft da:-),40,9.09,0,0,sister get place birla soft da,ham
Have you been practising your curtsey?,38,3.03,0,0,practise curtsey,ham
Not sure I have the stomach for it ...,38,10.0,0,0,sure stomach,ham
Anything lar then Ì_ not going home 4 dinner?,45,5.41,1,0,lar ì go home 4 dinner,ham
Guess who spent all last night phasing in and out of the fourth dimension,73,0.0,0,0,guess spend night phase fourth dimension,ham
I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,4.92,0,0,m look car buy go 4the drive test,ham
No plans yet. What are you doing ?,34,7.41,0,0,plan,ham
You have 1 new message. Please call 08712400200.,48,4.88,0,0,1 new message 08712400200,spam
K... Must book a not huh? so going for yoga basic on sunday?,60,10.42,1,0,k book huh go yoga basic sunday,ham
I dunno until when... Lets go learn pilates...,46,15.38,0,0,dunno let learn pilate,ham
Just buy a pizza. Meat lovers or supreme. U get to pick.,56,6.67,0,0,buy pizza meat lover supreme u pick,ham
So now my dad is gonna call after he gets out of work and ask all these crazy questions.,88,1.43,0,0,dad go to get work ask crazy question,ham
Its sarcasm.. .nt scarcasim,27,12.5,0,0,sarcasm not scarcasim,ham
Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,106,3.41,0,0,santa call little one like santa xmas eve 09058094583 book time,spam
All done? All handed in? Celebrations in full swing yet?,56,6.38,0,0,hand celebration swing,ham
"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",148,9.48,0,0,common hearin r u wat r u ur day let ask u different u smile today gud evng,ham
Thats cool. How was your day?,29,8.33,0,0,s cool day,ham
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,156,3.03,0,0,guess somebody know secretly fancy wanna find 09065394973 landline datebox1282essexcm61xn 150pmin 18,spam
Mmm so yummy babe ... Nice jolt to the suzy,43,8.82,0,0,mmm yummy babe nice jolt suzy,ham
Ok... Sweet dreams...,21,31.58,0,0,ok sweet dream,ham
Are you this much buzy,22,0.0,0,0,buzy,ham
"accordingly. I repeat, just text the word ok on your mobile phone and send",74,3.28,0,0,accordingly repeat text word ok mobile phone send,spam
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,8.4,1,1,xxxmobilemovieclub use credit click wap link txt message click xxxmobilemovieclubcomnqjkgighjjgcbl,spam
Do you hide anythiing or keeping distance from me,49,0.0,0,0,hide anythiing keep distance,ham
"Sir, waiting for your letter.",29,8.0,0,0,sir wait letter,ham
Mm feeling sleepy. today itself i shall get that dear,53,2.27,0,0,mm feel sleepy today shall dear,ham
We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;,110,7.61,0,0,walk mom right stagwood pass right winterstone leave victor hill address,ham
I can do that! I want to please you both inside and outside the bedroom...,74,6.67,0,0,want inside outside bedroom,ham
Where are you lover ? I need you ...,36,14.29,0,0,lover need,ham
on hen night. Going with a swing,32,3.85,0,0,hen night go swing,ham
"Haha, just what I was thinkin",29,4.17,0,0,haha thinkin,ham
"Aight, lemme know what's up",27,8.7,0,0,aight lemme know s,ham
Can you do a mag meeting this avo at some point?,48,2.63,0,0,mag meeting avo point,ham
I like to talk pa but am not able to. I dont know y.,52,5.13,0,0,like talk pa able not know y,ham
"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",157,8.8,0,0,hello baby mom set computer fill belly go loverboy miss sigh,ham
"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",101,5.13,0,0,hi hope u r ok say text not u see let gently,ham
No problem. How are you doing?,30,8.0,0,0,problem,ham
Ok...,5,60.0,0,0,ok,ham
Yup but not studying surfing lor. I'm in e lazy mode today.,59,6.25,0,0,yup study surf lor m e lazy mode today,ham
Are you there in room.,22,5.56,0,0,room,ham
To day class is there are no class.,35,3.57,0,0,day class class,ham
"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",126,1.98,0,0,party 7 day week study lightly think need draw custom checkboxe know hardcore,ham
Ok then i'll let him noe later n ask him call u tmr...,54,9.52,0,0,ok ill let noe later n ask u tmr,ham
"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",128,2.73,3,0,god pick flower dippeditinadew lovingly touch itwhichturnedinto u gift tomeandsaidthis friend 4u,ham
Theyre doing it to lots of places. Only hospitals and medical places are safe.,78,3.08,0,0,lot place hospital medical place safe,ham
Hmmm.but you should give it on one day..,40,9.09,0,0,hmmmbut day,ham
I remain unconvinced that this isn't an elaborate test of my willpower,70,1.69,0,0,remain unconvinced not elaborate test willpower,ham
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,84,0.0,0,0,hello darlin ve finish college txt u finish u love kate xxx,ham
"Mostly sports type..lyk footbl,crckt..",38,14.29,0,0,sport typelyk footblcrckt,ham
Auntie huai juan never pick up her phone,40,0.0,0,0,auntie huai juan pick phone,ham
will you like to be spoiled? :),31,12.0,0,0,like spoil,ham
Mm yes dear look how i am hugging you both. :-P,47,8.11,1,0,mm yes dear look hug p,ham
Good morning princess! How are you?,35,6.67,0,0,good morning princess,ham
"Same, I'm at my great aunts anniversary party in tarpon springs",63,3.77,0,0,m great aunt anniversary party tarpon spring,ham
"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",102,3.57,0,0,feel like dick sleep text facebook message sup town,ham
"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",155,5.47,1,0,3 lion england tone reply lionm 4 mono lionp 4 poly 4 2 original n good tone 3gbp network operator rate apply,spam
"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",151,2.46,0,0,honey pls find sell predicte nigeria time important reply monday,ham
No:-)i got rumour that you going to buy apartment in chennai:-),63,11.32,0,0,noi get rumour go buy apartment chennai,ham
Aiyah u did ok already lar. E nydc at wheellock?,48,5.13,0,0,aiyah u ok lar e nydc wheellock,ham
I'm stuck in da middle of da row on da right hand side of da lt... ,67,7.84,0,0,m stuck da middle da row da right hand da lt,ham
"Evry Emotion dsn't hav Words.Evry Wish dsn't hav Prayrs.. If u Smile,D World is wit u.Othrwise even d Drop of Tear dsn't lik 2 Stay wit u.So b happy.. Good morning, keep smiling:-)",180,10.14,0,0,evry emotion dsnt hav wordsevry wish dsnt hav prayr u smile world wit uothrwise d drop tear dsnt lik 2 stay wit uso b happy good morning smile,ham
I wonder if you'll get this text?,33,7.41,0,0,wonder ll text,ham
Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,69,12.07,0,0,pls prometazine syrup 5mls min later feed,ham
Thanx 4 sending me home...,26,13.64,0,0,thanx 4 send home,ham
Not a drop in the tank,22,0.0,0,0,drop tank,ham
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,160,2.22,1,0,mobile 11mth update free orange late colour camera mobile unlimited weekend call mobile upd8 freefone 08000839402 2stoptxt,spam
Go chase after her and run her over while she's crossing the street,67,1.82,0,0,chase run s cross street,ham
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",291,6.75,0,0,wow realize embarasse accomodation think like good happy cave m sorry not not m sorry offer m sorry room embarasse,ham
Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,124,1.0,0,0,dude avatar 3d imp point think actually fly room try hittng reflex,ham
Then we gotta do it after that,30,0.0,0,0,get to,ham
There bold 2  &lt;#&gt; . Is that yours,39,19.35,0,0,bold 2,ham
K.k.this month kotees birthday know?,36,9.38,0,0,kkthis month kotee birthday know,ham
Hi:)did you asked to waheeda fathima about leave?,49,7.14,0,0,hidid ask waheeda fathima leave,ham
Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..,155,9.16,1,0,cashbincouk lot cash weekend dear welcome weekend get big good cash away,spam
Detroit. The home of snow. Enjoy it.,36,10.0,0,0,detroit home snow enjoy,ham
FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,152,2.44,6,0,free unlimited hardcore porn direct 2 mobile txt porn 69200 free access 24 hrs chrgd50p day txt stop 2exit msg free,spam
I will send them to your email. Do you mind  &lt;#&gt;  times per night?,72,12.28,0,0,send email mind time night,ham
Yes i thought so. Thanks.,25,9.52,0,0,yes think thank,ham
I asked you to call him now ok,30,0.0,0,0,ask ok,ham
Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,141,5.36,0,0,not look building coat not want sick hurry home wear coat gym,ham
Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.,88,2.7,0,0,dude makin weirdy brownie sister awesome cooky take pic,ham
"Probably gonna be here for a while, see you later tonight &lt;)",63,7.69,0,0,probably go to later tonight,ham
I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,85,2.86,0,0,be not answerin phone actually pretty reasonable hour m sleepy,ham
"Aight, we'll head out in a few",30,8.33,0,0,aight head,ham
Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,64,9.43,0,0,kindly send flat decimal today,ham
Anything lar...,15,21.43,0,0,lar,ham
Why did I wake up on my own &gt;:(,34,15.38,0,0,wake,ham
"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",163,7.3,1,1,urgent important information 02 user today lucky day 2 find log fantastic surprise await,spam
Be sure to check your yahoo email. We sent photos yesterday,59,2.04,0,0,sure check yahoo email send photo yesterday,ham
Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,95,9.64,0,0,bored housewife chat n date 08717507711 btnational rate 10pmin landline,spam
Send me the new number,22,0.0,0,0,send new number,ham
Pick you up bout 7.30ish? What time are  and that going?,56,6.67,0,0,pick bout 730ish time go,ham
Ooooooh I forgot to tell u I can get on yoville on my phone,59,0.0,0,0,ooooooh forget tell u yoville phone,ham
Finish already... Yar they keep saying i mushy... I so embarrassed ok...,72,14.75,0,0,finish yar say mushy embarrassed ok,ham
S s..first time..dhoni rocks...,31,25.0,0,0,s sfirst timedhoni rock,ham
Happy birthday... May u find ur prince charming soon n dun work too hard...,75,9.68,0,0,happy birthday u find ur prince charming soon n dun work hard,ham
Ya:)going for restaurant..,26,16.67,0,0,yagoe restaurant,ham
Why she wants to talk to me,27,0.0,0,0,want talk,ham
Now press conference da:),25,9.09,0,0,press conference da,ham
Mathews or tait or edwards or anderson,38,0.0,0,0,mathew tait edward anderson,ham
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,157,3.82,4,0,urgent try contact u todays draw show win å£800 prize guarantee 09050003091 land line claim c52 valid12hrs,spam
Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,72,10.34,0,0,aiyar dun disturb u liao thk u lot 2 aft ur cupboard come,ham
Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,166,7.46,0,0,mile smile r frm letter u know d difference smile ur face keep happy mile away u smile good nyt,ham
Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,146,12.93,0,0,hello boytoy geeee m miss today like send tm remind m think love love kiss,ham
Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march Û_ ish!,143,5.31,1,0,yes meet town cos gep home text bus stop not worry finish march û ish,ham
Did u see what I posted on your Facebook?,41,3.03,0,0,u post facebook,ham
"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",164,8.57,5,0,ve win 4 costa del sol holiday å£5000 await collection 09050090044 toclaim sae tc s pobox334 stockport sk38xh costå£150pm max10min,spam
"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",158,3.65,3,0,u win å£100 music gift voucher week start txt word draw 87066 tsc skillgame1winaweek age16150ppermesssubscription,spam
It's ok lar. U sleep early too... Nite...,41,23.53,0,0,ok lar u sleep early nite,ham
"I shall book chez jules for half eight, if that's ok with you?",62,6.0,0,0,shall book chez jule half s ok,ham
Ok... C ya...,13,54.55,0,0,ok c ya,ham
Just sleeping..and surfing,26,8.33,0,0,sleepingand surfing,ham
Where u been hiding stranger?,29,4.0,0,0,u hide strange,ham
The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,137,2.7,0,0,search 4 happiness 1 d main source unhappiness accept life way come u find happiness moment u live,ham
Our Prasanth ettans mother passed away last night. Just pray for her and family.,80,2.99,0,0,prasanth ettans mother pass away night pray family,ham
Tomarrow final hearing on my laptop case so i cant.,51,2.38,0,0,tomarrow final hearing laptop case not,ham
"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",102,16.87,0,0,meh thgt clash ah dun mind dun see lose weight gee,ham
Are you willing to go for aptitude class.,41,2.94,0,0,willing aptitude class,ham
I AM AT A PARTY WITH ALEX NICHOLS,33,0.0,6,0,party alex nichols,ham
Ok. C u then.,13,20.0,0,0,ok c u,ham
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",145,16.26,1,0,living simple loving simple laughing simple winning tooo simple simple difficult,ham
Doing project w frens lor. ,27,4.55,0,0,project w frens lor,ham
You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,159,2.27,0,0,winner specially select receive å£1000 cash å£2000 award speak live operator claim 087123002209am7pm cost 10p,spam
Din i tell u jus now 420,24,0.0,0,0,din tell u jus 420,ham
Eh den sat u book e kb liao huh...,34,11.54,0,0,eh den sit u book e kb liao huh,ham
Does daddy have a bb now.,25,5.0,0,0,daddy bb,ham
Any pain on urination any thing else?,37,3.23,0,0,pain urination thing,ham
NO GIFTS!! You trying to get me to throw myself off a cliff or something?,73,5.08,2,0,gift try throw cliff,ham
"Awesome, lemme know whenever you're around",42,5.41,0,0,awesome lemme know,ham
"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",75,5.08,0,0,ugh y not u apologize admit u wrong ask u,ham
Cos daddy arranging time c wat time fetch Ì_ mah...,51,9.52,1,0,cos daddy arrange time c wat time fetch ì mah,ham
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,58,4.17,1,0,plz tell an bslvyl send fullonsmscom,ham
